ID,GS,Cuadrante,DO,fHORA,Ano,Guanacos,DMin,DMax,Patch,Log C2,ALev,NComp,Agr,Sync.Max,ACT,Chulengos,Chu_PA,Sync4
755,GsC,SO,1502,T1,8,7,5,50,"785,4","0,610660163",1,1,0,1,1,0,0,"0,961538462"
756,GsC,SE,1073,T1,8,12,1,20,"62,832","-0,302189661",1,1,0,1,1,0,0,"6,25"
757,F,SO,718,T1,8,19,1,50,"157,08","-0,489172889",1,2,0,"0,947368421","0,473684211",1,1,"3,125"
758,GsC,SO,1005,T1,8,26,1,50,"157,08","-0,625392636",1,1,0,1,1,0,0,"4,166666667"
759,F,SO,1044,T1,8,2,10,10,"314,16","1,196120893",1,1,0,1,1,1,1,"1,136363636"
760,F,SE,770,T1,8,3,2,5,"31,416","0,475961589",1,1,0,1,1,1,1,"1,5625"
761,GsC,SO,1321,T1,8,5,10,100,"3141,6","1,057818194","0,4",2,0,"0,6","0,12",0,0,"0,390625"
762,F,SE,553,T1,8,7,1,15,"47,124","-0,07494588",1,1,0,1,1,1,1,"1,785714286"
763,GsC,SO,1483,T1,8,7,2,50,"314,16","0,2370795",1,1,0,1,1,0,0,"1,315789474"
764,GsC,SE,1291,T1,8,8,5,30,"471,24","0,527114112",1,2,0,"0,75","0,375",0,0,"2,5"
765,F,SO,689,T1,8,24,1,50,"157,08","-0,59063053",1,2,0,"0,875","0,4375",1,1,"4,166666667"
766,GsC,SO,1105,T1,8,27,1,100,"314,16","-0,637504254",1,1,0,1,1,0,0,"0,531914894"
767,F,SO,881,T2,8,2,2,10,"62,832","0,718999638",1,1,0,1,1,1,1,"1,136363636"
768,F,SE,847,T2,8,3,1,20,"62,832","0,29987033",1,1,0,1,1,1,1,"1,136363636"
769,GsC,SO,1472,T2,8,6,10,100,"3141,6","0,978636948",1,1,0,1,1,0,0,"1,785714286"
770,F,SE,691,T2,8,7,1,20,"62,832","-0,068106455",1,1,0,1,1,1,1,"1,5625"
771,GsC,SO,1414,T2,8,7,2,50,"314,16","0,2370795",1,1,0,1,1,0,0,"1,25"
772,F,SE,865,T2,8,11,1,30,"94,248","-0,25745224",1,2,0,"0,909090909","0,454545455",1,1,"4,166666667"
773,GsC,SE,1310,T2,8,12,10,50,"1570,8","0,639818392",1,1,0,1,1,0,0,"2,272727273"
774,F,SO,719,T2,8,26,1,50,"157,08","-0,625392636",1,1,0,1,1,1,1,"2,083333333"
775,GsC,SO,1082,T2,8,27,1,100,"314,16","-0,637504254",1,1,0,1,1,0,0,"0,510204082"
776,F,SE,937,T2,8,7,2,50,"314,16","0,2370795",1,1,0,1,1,1,1,"1,136363636"
777,GsC,SE,1375,T2,8,7,2,30,"188,496","0,226084116",1,1,0,1,1,0,0,5
778,GsC,SO,1335,T2,8,8,2,2,"12,5664","-0,104909103",1,2,1,"0,75","0,375",0,0,"2,5"
779,GsC,SE,1369,T2,8,8,10,100,"3141,6","0,853698212",1,1,0,1,1,0,0,"3,409090909"
780,F,SE,893,T2,8,11,1,50,"157,08","-0,251811973",1,1,0,1,1,1,1,"1,136363636"
781,F,SE,1139,T2,8,12,2,30,"188,496","-0,00799909",1,2,0,"0,75","0,375",2,1,"6,25"
782,GsC,SO,1518,T2,8,16,10,100,"3141,6","0,552668216",1,1,0,1,1,0,0,"1,923076923"
783,GsC,SO,1134,T2,8,21,1,50,"157,08","-0,532638583",1,1,0,1,1,0,0,"2,5"
784,F,SO,758,T2,8,26,1,50,"157,08","-0,625392636",1,1,0,1,1,1,1,"2,083333333"
786,F,SE,851,T2,8,3,2,10,"62,832","0,542908379",1,1,0,1,1,1,1,"1,25"
787,F,SE,905,T2,8,7,5,30,"471,24","0,585106059",1,1,0,1,1,1,1,"1,136363636"
788,GsC,SE,871,T2,8,8,5,30,"471,24","0,527114112",1,2,0,"0,5","0,25",0,0,"0,694444444"
789,GsC,SO,1383,T2,8,9,10,100,"3141,6","0,802545689",1,1,0,1,1,0,0,"5,357142857"
790,GsC,SO,1483,T2,8,10,50,100,15708,"1,321059629",1,1,0,1,1,0,0,"1,973684211"
791,F,SE,1192,T2,8,12,5,50,"785,4","0,376576957",1,1,0,1,1,2,1,"1,136363636"
792,F,SO,740,T2,8,23,1,50,"157,08","-0,572147124",1,2,0,"0,913043478","0,456521739",1,1,"4,166666667"
793,GsC,SO,1109,T2,8,26,1,50,"157,08","-0,625392636",1,1,0,1,1,0,0,"4,166666667"
797,F,SE,1436,T2,8,4,2,30,"188,496","0,469122165",1,1,0,1,1,1,1,"1,136363636"
798,GsC,SO,1467,T2,8,6,10,100,"3141,6","0,978636948",1,1,0,1,1,0,0,"1,785714286"
799,F,SE,814,T2,8,7,2,20,"125,664","0,212720154",1,1,0,1,1,1,1,"1,5625"
800,GsC,SO,1343,T2,8,8,2,100,"628,32","0,187520721",1,1,0,1,1,0,0,"5,357142857"
801,GsC,SO,1687,T2,8,9,2,30,"188,496","0,116939647",1,1,0,1,1,0,0,"0,471698113"
802,F,SE,790,T2,8,12,2,50,"314,16","0,002996294",1,1,0,1,1,2,1,"1,388888889"
803,GsC,SO,983,T2,8,17,2,50,"314,16","-0,148271381",1,1,0,1,1,0,0,"1,086956522"
804,GsC,SO,796,T2,8,23,2,100,"628,32","-0,271117128",1,1,0,1,1,0,0,"8,333333333"
806,GsC,SE,620,T3,8,2,20,20,"1256,64","1,497150888",1,1,0,1,1,0,0,"12,5"
807,GsC,SO,1706,T3,8,5,5,50,"785,4","0,756788199",1,1,0,1,1,0,0,"7,5"
808,GsC,SE,790,T3,8,8,5,30,"471,24","0,527114112",1,1,0,1,1,0,0,5
809,F,SE,999,T3,8,12,2,50,"314,16","0,002996294",1,1,0,1,1,2,1,"1,388888889"
810,F,SE,1078,T3,8,19,2,50,"314,16","-0,196576061",1,2,0,"0,789473684","0,394736842",1,1,"4,166666667"
811,F,SO,953,T3,8,37,2,50,"314,16","-0,486024184","0,837837838",3,0,"0,756756757","0,211346482",2,1,"6,25"
813,GsC,SO,1155,T3,8,7,2,30,"188,496","0,226084116",1,1,0,1,1,0,0,5
814,GsC,SO,1727,T3,8,7,5,50,"785,4","0,610660163",1,1,0,1,1,0,0,"0,961538462"
815,GsC,SE,783,T3,8,8,2,30,"188,496","0,168092169","0,875",2,0,"0,875","0,3828125",0,0,"0,78125"
816,F,SE,996,T3,8,12,2,50,"314,16","0,002996294",1,1,0,1,1,2,1,"1,388888889"
817,F,SE,1090,T3,8,22,1,50,"157,08","-0,552841969",1,2,0,"0,909090909","0,454545455",2,1,"4,166666667"
818,F,SO,962,T3,8,34,1,50,"157,08","-0,741898205","0,794117647",2,0,"0,794117647","0,315311419",2,1,"4,166666667"
820,GsC,SE,826,T3,8,6,2,20,"125,664","0,279666944","0,833333333",2,0,"0,833333333","0,347222222",0,0,"1,136363636"
821,GsC,SO,1123,T3,8,7,1,30,"94,248","-0,061157595",1,1,0,1,1,0,0,"8,333333333"
822,GsC,SE,923,T3,8,8,2,50,"314,16","0,179087553",1,1,0,1,1,0,0,"2,083333333"
823,GsC,SO,1785,T3,8,11,2,50,"314,16","0,040784855",1,1,0,1,1,0,0,5
824,GsC,SO,1023,T3,8,13,1,100,"314,16","-0,320083842",1,1,0,1,1,0,0,"1,136363636"
825,F,SE,1034,T3,8,14,1,50,"157,08","-0,356547324",1,1,0,1,1,1,1,"1,388888889"
826,F,SE,1022,T3,8,21,1,50,"157,08","-0,532638583","0,904761905",3,0,"0,761904762","0,229780801",2,1,"6,25"
827,F,SO,966,T3,8,22,1,50,"157,08","-0,552841969","0,636363636",3,0,"0,545454545","0,115702479",2,1,"6,25"
829,GsC,SO,947,T3,8,5,2,20,"125,664","0,35884819","0,8",2,0,"0,8","0,32",0,0,"1,25"
830,GsC,SO,1762,T3,8,7,2,10,"62,832","0,174931594",1,1,0,1,1,0,0,5
831,F,SE,841,T3,8,12,2,50,"314,16","0,002996294",1,1,0,1,1,2,1,"1,25"
832,GsC,SO,1312,T3,8,19,2,10,"62,832","-0,258723967",1,1,0,1,1,0,0,"1,923076923"
833,F,SE,1034,T3,8,23,1,30,"94,248","-0,577787391","0,913043478",2,0,"0,913043478","0,416824197",2,1,"4,166666667"
834,F,SO,452,T3,8,6,2,10,"62,832","0,241878383",1,1,0,1,1,1,1,"1,785714286"
835,GsC,SO,1713,T3,8,9,10,50,"1570,8","0,764757128",1,1,0,1,1,0,0,"1,19047619"
836,F,SE,939,T3,8,11,1,30,"94,248","-0,25745224",1,1,0,1,1,1,1,"1,785714286"
837,F,SE,1036,T3,8,14,1,50,"157,08","-0,356547324",1,1,0,1,1,1,1,"1,388888889"
838,GsC,SO,1306,T3,8,21,2,100,"628,32","-0,231608587",1,1,0,1,1,0,0,5
839,F,SE,1069,T3,8,32,1,50,"157,08","-0,715569266",1,1,0,1,1,4,1,"2,083333333"
842,GsC,SE,1093,T3,8,3,2,10,"62,832","0,542908379",1,1,0,1,1,0,0,"6,25"
843,GsC,SO,1734,T3,8,7,10,50,"1570,8","0,873901598",1,1,0,1,1,0,0,"0,609756098"
844,F,SE,760,T3,8,8,1,50,"157,08","-0,113509275",1,1,0,1,1,2,1,"1,136363636"
845,F,SE,917,T3,8,11,1,30,"94,248","-0,25745224","0,909090909",2,0,"0,909090909","0,41322314",1,1,"4,166666667"
846,F,SO,421,T3,8,12,1,50,"157,08","-0,289600534","0,416666667",3,0,"0,583333333","0,081018519",2,1,"6,25"
847,F,SE,833,T3,8,28,1,50,"157,08","-0,657577319",1,1,0,1,1,3,1,"2,083333333"
848,GsC,SO,1348,T3,8,36,2,100,"628,32","-0,465691793",1,1,0,1,1,0,0,"2,083333333"
849,GsC,SO,967,T4,8,2,10,10,"314,16","1,196120893",1,1,0,1,1,0,0,"3,125"
850,GsC,SE,843,T4,8,5,5,50,"785,4","0,756788199",1,1,0,1,1,0,0,"6,25"
851,GsC,SE,1119,T4,8,6,1,10,"31,416","-0,021363052",1,1,0,1,1,0,0,"4,166666667"
852,GsC,SO,1523,T4,8,6,2,100,"628,32","0,312459457",1,1,0,1,1,0,0,"2,083333333"
853,GsC,SO,1094,T4,8,7,10,100,"3141,6","0,911690159",1,2,0,"0,714285714","0,357142857",0,0,"3,125"
854,F,SE,682,T4,8,9,1,30,"94,248","-0,170302065",1,1,0,1,1,1,1,"1,5625"
855,GsC,SE,1569,T4,8,9,2,100,"628,32","0,136368198",1,2,0,"0,888888889","0,444444444",0,0,"0,543478261"
856,GsC,SE,1270,T4,8,10,1,50,"157,08","-0,210419288","0,4",2,0,"0,6","0,12",0,0,"0,416666667"
857,F,SO,422,T4,8,21,1,50,"157,08","-0,532638583",1,2,0,"0,80952381","0,404761905",2,1,"4,166666667"
858,GsC,SO,1135,T4,8,23,1,50,"157,08","-0,572147124",1,1,0,1,1,0,0,"3,571428571"
859,GsC,SO,1201,T4,8,30,1,100,"314,16","-0,683261745",1,1,0,1,1,0,0,"0,925925926"
860,GsC,SO,823,T4,8,3,20,100,"6283,2","1,542908379",1,1,0,1,1,0,0,"1,136363636"
861,GsC,SE,1024,T4,8,5,10,50,"1570,8","1,020029634",1,1,0,1,1,0,0,"3,75"
862,GsC,SO,1041,T4,8,7,10,100,"3141,6","0,911690159",1,1,0,1,1,0,0,"2,34375"
863,F,SE,926,T4,8,15,2,10,"62,832","-0,156061626",1,1,0,1,1,1,1,"2,5"
864,F,SE,1513,T4,8,21,2,50,"314,16","-0,240041754",1,2,0,"0,952380952","0,476190476",1,1,"3,125"
